ECO,OpeningCategory,OpeningType,Games,BlackWins,BlackWinRate,AvgWhiteElo,AvgBlackElo,EloDiff
C65g,C,King's Pawn Opening,64,19.5,0.3,2278.36,2166.91,111.45
E17n,E,Queen's Pawn Opening,30,11.5,0.38,2436.93,2349.7,87.23
E04q,E,Queen's Pawn Opening,49,17.0,0.35,2335.73,2278.12,57.61
E83i,E,Queen's Pawn Opening,54,27.0,0.5,2229.06,2236.85,-7.79
D36m,D,Queen's Pawn Opening,135,61.5,0.46,2173.89,2116.47,57.42
D10r,D,Queen's Pawn Opening,73,30.5,0.42,2097.85,2095.0,2.85
B00o,B,King's Pawn Opening,181,84.0,0.46,2229.52,2217.92,11.6
A36n,A,Other,45,27.5,0.61,2159.36,2214.98,-55.62
D21u,D,Queen's Pawn Opening,3,3,1.0,2392.0,2565.0,-173.0
C55p,C,King's Pawn Opening,266,154.5,0.58,2156.3,2235.45,-79.15
A45l,A,Queen's Pawn Opening,152,63.0,0.41,2209.99,2194.73,15.26
A44g,A,Queen's Pawn Opening,24,18.5,0.77,2086.46,2287.88,-201.42
B62f,B,King's Pawn Opening,155,75.5,0.49,2301.37,2330.65,-29.28
C40d,C,King's Pawn Opening,12,4,0.33,2046.58,2215.75,-169.17
D53s,D,Queen's Pawn Opening,43,21.5,0.5,2050.63,1973.16,77.47
B31h,B,King's Pawn Opening,170,81.5,0.48,2226.27,2222.65,3.62
B32t,B,King's Pawn Opening,52,21.5,0.41,2276.02,2252.83,23.19
B56b,B,King's Pawn Opening,19,15.0,0.79,2124.79,2348.79,-224.0
D12i,D,Queen's Pawn Opening,91,39.0,0.43,2166.93,2140.79,26.14
C02j,C,King's Pawn Opening,157,74.0,0.47,2327.43,2304.62,22.81
E61u,E,Queen's Pawn Opening,16,3.0,0.19,2183.31,2134.19,49.12
B03o,B,King's Pawn Opening,70,35.0,0.5,2223.91,2286.3,-62.39
B40k,B,King's Pawn Opening,105,65.0,0.62,2256.09,2309.59,-53.5
A37a,A,Other,17,7.5,0.44,2260.65,2304.47,-43.82
E15o,E,Queen's Pawn Opening,121,57.5,0.48,2369.64,2389.93,-20.29
C00t,C,King's Pawn Opening,53,26.0,0.49,2180.98,2156.32,24.66
C60o,C,King's Pawn Opening,42,18.5,0.44,2255.86,2321.9,-66.04
A78,A,Queen's Pawn Opening,27,9.5,0.35,2288.07,2293.11,-5.04
B90o,B,King's Pawn Opening,353,202.0,0.57,2169.1,2224.27,-55.17
B45c,B,King's Pawn Opening,38,18.0,0.47,2253.95,2383.03,-129.08
B43o,B,King's Pawn Opening,88,44.5,0.51,2090.51,2171.76,-81.25
C48i,C,King's Pawn Opening,131,59.5,0.45,2360.54,2333.35,27.19
C88p,C,King's Pawn Opening,43,18.5,0.43,2238.84,2196.51,42.33
A40b,A,Queen's Pawn Opening,190,94.0,0.49,2181.69,2202.27,-20.58
D05f,D,Queen's Pawn Opening,65,29.0,0.45,2134.54,2131.65,2.89
E11d,E,Queen's Pawn Opening,41,21.0,0.51,2233.98,2302.24,-68.26
E04p,E,Queen's Pawn Opening,37,20.0,0.54,2357.03,2261.7,95.33
B26g,B,King's Pawn Opening,22,11.0,0.5,2120.64,2241.77,-121.13
B30r,B,King's Pawn Opening,60,26.0,0.43,2287.93,2273.77,14.16
A00a,A,Other,1,0.5,0.5,2710.0,2771.0,-61.0
E62o,E,Queen's Pawn Opening,13,5.5,0.42,2366.85,2367.92,-1.07
E08j,E,Queen's Pawn Opening,225,90.0,0.4,2348.02,2340.86,7.16
D55i,D,Queen's Pawn Opening,7,4,0.57,2417.71,2385.43,32.28
C01w,C,King's Pawn Opening,136,68.5,0.5,2295.24,2331.54,-36.3
C11g,C,King's Pawn Opening,14,7.5,0.54,2157.86,2208.64,-50.78
E12b,E,Queen's Pawn Opening,43,20.0,0.47,2280.93,2205.09,75.84
A42k,A,Queen's Pawn Opening,26,12.5,0.48,2226.27,2284.65,-58.38
A46l,A,Queen's Pawn Opening,59,29.0,0.49,2152.73,2141.02,11.71
B31o,B,King's Pawn Opening,170,76.5,0.45,2323.49,2289.78,33.71
B47b,B,King's Pawn Opening,85,44.5,0.52,2265.74,2278.85,-13.11
D32n,D,Queen's Pawn Opening,117,39.0,0.33,2333.13,2263.87,69.26
B78h,B,King's Pawn Opening,7,1.0,0.14,1993.29,1445.71,547.58
A36k,A,Other,65,36.5,0.56,2109.94,2144.78,-34.84
D30t,D,Queen's Pawn Opening,130,44.0,0.34,2307.35,2170.44,136.91
B70v,B,King's Pawn Opening,11,6.0,0.55,2272.55,2264.73,7.82
D35b,D,Queen's Pawn Opening,232,96.0,0.41,2305.47,2262.24,43.23
C02z,C,King's Pawn Opening,149,69.0,0.46,2233.13,2216.94,16.19
A46z,A,Queen's Pawn Opening,58,28.0,0.48,2329.47,2337.4,-7.93
D47g,D,Queen's Pawn Opening,11,6.5,0.59,2032.73,2075.09,-42.36
D27s,D,Queen's Pawn Opening,46,20.5,0.45,2303.65,2331.65,-28.0
C47f,C,King's Pawn Opening,75,33.0,0.44,2294.36,2253.0,41.36
B01u,B,King's Pawn Opening,264,122.0,0.46,2141.02,2114.61,26.41
B48h,B,King's Pawn Opening,95,52.0,0.55,2157.71,2195.33,-37.62
B94g,B,King's Pawn Opening,187,89.0,0.48,2288.51,2345.84,-57.33
B50h,B,King's Pawn Opening,157,78.5,0.5,2298.6,2242.78,55.82
C12k,C,King's Pawn Opening,55,22.5,0.41,2226.69,2227.47,-0.78
E94t,E,Queen's Pawn Opening,30,10.0,0.33,2322.87,2351.7,-28.83
B77g,B,King's Pawn Opening,88,39.0,0.44,2140.94,2067.92,73.02
B35m,B,King's Pawn Opening,13,4.5,0.35,2171.69,2249.0,-77.31
C02w,C,King's Pawn Opening,96,43.5,0.45,2227.66,2134.01,93.65
C01v,C,King's Pawn Opening,193,96.0,0.5,2218.66,2239.26,-20.6
B30w,B,King's Pawn Opening,112,62.5,0.56,2250.79,2336.05,-85.26
A57m,A,Queen's Pawn Opening,187,66.5,0.36,2262.08,2202.61,59.47
B60e,B,King's Pawn Opening,23,12.0,0.52,2171.13,2163.57,7.56
C88g,C,King's Pawn Opening,57,26.0,0.46,2347.0,2277.12,69.88
D31o,D,Queen's Pawn Opening,63,27.0,0.43,2311.71,2244.37,67.34
D35o,D,Queen's Pawn Opening,34,13.0,0.38,1978.26,1968.85,9.41
B61i,B,King's Pawn Opening,37,16.0,0.43,2288.11,2311.3,-23.19
D11f,D,Queen's Pawn Opening,21,7.0,0.33,2288.81,2260.62,28.19
A60k,A,Queen's Pawn Opening,26,13.5,0.52,2216.23,2329.73,-113.5
C16h,C,King's Pawn Opening,5,3,0.6,2356.2,2399.2,-43.0
D30k,D,Queen's Pawn Opening,130,48.0,0.37,2296.0,2260.72,35.28
A48x,A,Queen's Pawn Opening,95,49.5,0.52,2334.58,2351.21,-16.63
E11k,E,Queen's Pawn Opening,56,31.0,0.55,2429.21,2449.8,-20.59
A58t,A,Queen's Pawn Opening,4,4,1.0,2103.5,2271.0,-167.5
D25n,D,Queen's Pawn Opening,9,3.5,0.39,2325.56,2193.67,131.89
E70f,E,Queen's Pawn Opening,21,10.0,0.48,2267.24,2319.86,-52.62
E52,E,Queen's Pawn Opening,102,52.0,0.51,2307.02,2322.27,-15.25
B45k,B,King's Pawn Opening,127,72.0,0.57,2160.09,2233.4,-73.31
D35r,D,Queen's Pawn Opening,145,56.0,0.39,2318.88,2236.31,82.57
D36a,D,Queen's Pawn Opening,88,52.0,0.59,2202.94,2248.4,-45.46
E99,E,Queen's Pawn Opening,174,77.0,0.44,2223.21,2198.46,24.75
E68e,E,Queen's Pawn Opening,60,27.0,0.45,2247.07,2312.02,-64.95
E69b,E,Queen's Pawn Opening,11,1.5,0.14,2170.36,2061.82,108.54
B08r,B,King's Pawn Opening,50,22.0,0.44,2238.4,2205.34,33.06
E60a,E,Queen's Pawn Opening,256,113.0,0.44,2286.93,2250.14,36.79
E04d,E,Queen's Pawn Opening,13,5.0,0.38,2157.85,2097.46,60.39
E62d,E,Queen's Pawn Opening,97,51.0,0.53,2156.56,2190.99,-34.43
A46q,A,Queen's Pawn Opening,138,65.0,0.47,2260.77,2272.28,-11.51
C47g,C,King's Pawn Opening,60,25.5,0.42,2312.58,2295.13,17.45
C78v,C,King's Pawn Opening,54,29.5,0.55,2309.41,2364.67,-55.26
A56h,A,Queen's Pawn Opening,27,16.0,0.59,2184.63,2251.59,-66.96
C88e,C,King's Pawn Opening,23,9.0,0.39,2234.39,2141.65,92.74
B33m,B,King's Pawn Opening,416,206.5,0.5,2204.38,2230.22,-25.84
D27p,D,Queen's Pawn Opening,50,30.0,0.6,2185.84,2268.98,-83.14
B97c,B,King's Pawn Opening,18,11.5,0.64,2191.28,2325.0,-133.72
B12p,B,King's Pawn Opening,81,38.5,0.48,1926.23,2038.63,-112.4
D11h,D,Queen's Pawn Opening,75,34.0,0.45,2260.12,2217.84,42.28
B23y,B,King's Pawn Opening,179,96.5,0.54,2132.68,2194.51,-61.83
C47b,C,King's Pawn Opening,265,126.0,0.48,2315.38,2309.05,6.33
C45m,C,King's Pawn Opening,146,79.0,0.54,2224.64,2267.97,-43.33
D37h,D,Queen's Pawn Opening,94,33.0,0.35,2145.43,1910.94,234.49
B60b,B,King's Pawn Opening,74,29.5,0.4,2351.85,2329.27,22.58
D21v,D,Queen's Pawn Opening,36,22.0,0.61,2172.72,2193.61,-20.89
A39i,A,Other,14,9.0,0.64,2107.36,2244.64,-137.28
D46h,D,Queen's Pawn Opening,37,15.5,0.42,2252.57,2249.62,2.95
C54e,C,King's Pawn Opening,276,131.5,0.48,2213.89,2238.71,-24.82
E00u,E,Queen's Pawn Opening,36,18.5,0.51,2124.75,2078.72,46.03
D30q,D,Queen's Pawn Opening,169,76.0,0.45,2223.09,2220.81,2.28
A52d,A,Queen's Pawn Opening,32,13.5,0.42,2303.03,2126.38,176.65
A12,A,Other,325,137.0,0.42,2229.24,2164.99,64.25
C92p,C,King's Pawn Opening,52,24.5,0.47,2356.88,2300.71,56.17
A57h,A,Queen's Pawn Opening,30,10.5,0.35,2028.43,2000.67,27.76
B04o,B,King's Pawn Opening,27,11.5,0.43,2303.52,2289.96,13.56
A50d,A,Queen's Pawn Opening,55,27.5,0.5,2322.09,2357.45,-35.36
A56r,A,Queen's Pawn Opening,48,23.5,0.49,2188.0,2150.79,37.21
D02a,D,Queen's Pawn Opening,81,38.0,0.47,2148.72,2067.52,81.2
D87d,D,Queen's Pawn Opening,46,16.0,0.35,2337.76,2276.2,61.56
E60i,E,Queen's Pawn Opening,240,97.5,0.41,2309.5,2235.69,73.81
B08a,B,King's Pawn Opening,106,52.5,0.5,2064.73,2118.7,-53.97
B07e,B,King's Pawn Opening,74,36.0,0.49,2307.27,2306.73,0.54
A84,A,Queen's Pawn Opening,320,134.0,0.42,2209.95,2126.77,83.18
B00x,B,King's Pawn Opening,170,91.0,0.54,2137.72,2230.62,-92.9
E10h,E,Queen's Pawn Opening,16,7.0,0.44,1961.12,2147.12,-186.0
C46l,C,King's Pawn Opening,42,25.0,0.6,2254.93,2362.67,-107.74
A48f,A,Queen's Pawn Opening,59,36.0,0.61,2033.83,2126.71,-92.88
E62g,E,Queen's Pawn Opening,40,23.5,0.59,2334.28,2314.6,19.68
B97q,B,King's Pawn Opening,24,14.0,0.58,2314.17,2393.71,-79.54
D27e,D,Queen's Pawn Opening,3,1.5,0.5,2494.67,2376.67,118.0
E18m,E,Queen's Pawn Opening,76,32.5,0.43,2395.91,2343.91,52.0
A33k,A,Other,13,4.0,0.31,2379.54,2283.54,96.0
D32s,D,Queen's Pawn Opening,171,59.5,0.35,2409.1,2316.48,92.62
B38a,B,King's Pawn Opening,161,62.5,0.39,2290.34,2230.83,59.51
B42o,B,King's Pawn Opening,95,44.5,0.47,2211.32,2174.94,36.38
B38c,B,King's Pawn Opening,12,5.5,0.46,2077.83,2272.5,-194.67
A70n,A,Queen's Pawn Opening,39,17.5,0.45,2288.38,2300.62,-12.24
B03l,B,King's Pawn Opening,81,48.5,0.6,2356.05,2359.3,-3.25
B12t,B,King's Pawn Opening,162,66.5,0.41,2316.23,2275.45,40.78
B35c,B,King's Pawn Opening,17,9.0,0.53,2142.12,2200.29,-58.17
B38r,B,King's Pawn Opening,147,56.0,0.38,2252.6,2132.11,120.49
D40a,D,Queen's Pawn Opening,14,5.0,0.36,1931.79,1979.57,-47.78
B92j,B,King's Pawn Opening,136,63.0,0.46,2258.37,2245.93,12.44
B44e,B,King's Pawn Opening,84,46.0,0.55,2223.76,2262.89,-39.13
D45s,D,Queen's Pawn Opening,128,57.5,0.45,2376.73,2360.15,16.58
D46m,D,Queen's Pawn Opening,92,36.0,0.39,2323.22,2294.48,28.74
B48i,B,King's Pawn Opening,3,2,0.67,2053.0,2304.0,-251.0
E81o,E,Queen's Pawn Opening,71,37.0,0.52,2244.49,2266.17,-21.68
B54m,B,King's Pawn Opening,83,45.0,0.54,2176.35,2272.67,-96.32
E94c,E,Queen's Pawn Opening,149,63.5,0.43,2364.61,2306.5,58.11
B60f,B,King's Pawn Opening,74,42.0,0.57,2250.15,2346.61,-96.46
B43n,B,King's Pawn Opening,56,29.5,0.53,2182.77,2205.77,-23.0
D43c,D,Queen's Pawn Opening,27,9.5,0.35,2375.04,2334.44,40.6
A80h,A,Queen's Pawn Opening,51,21.0,0.41,2247.98,2211.71,36.27
C00l,C,King's Pawn Opening,162,71.0,0.44,2141.73,2171.0,-29.27
D37i,D,Queen's Pawn Opening,140,46.5,0.33,2295.56,2160.93,134.63
D15j,D,Queen's Pawn Opening,72,35.5,0.49,2324.03,2297.83,26.2
B94j,B,King's Pawn Opening,5,4,0.8,2171.2,2036.8,134.4
B52i,B,King's Pawn Opening,22,12.5,0.57,2221.59,2250.59,-29.0
B48m,B,King's Pawn Opening,25,13.5,0.54,2308.96,2341.12,-32.16
C95m,C,King's Pawn Opening,53,24.0,0.45,2277.34,2302.09,-24.75
B50e,B,King's Pawn Opening,97,55.0,0.57,2058.81,2077.19,-18.38
E12i,E,Queen's Pawn Opening,29,15.0,0.52,2406.31,2422.0,-15.69
A42c,A,Queen's Pawn Opening,69,39.0,0.57,2331.16,2453.2,-122.04
B54h,B,King's Pawn Opening,83,29.0,0.35,2117.31,2025.71,91.6
C06t,C,King's Pawn Opening,47,14.5,0.31,2239.11,2098.13,140.98
E16g,E,Queen's Pawn Opening,147,70.5,0.48,2340.14,2387.05,-46.91
E12d,E,Queen's Pawn Opening,15,5.5,0.37,2308.4,2224.4,84.0
C03i,C,King's Pawn Opening,85,39.0,0.46,2268.71,2267.36,1.35
C81,C,King's Pawn Opening,70,27.0,0.39,2353.79,2269.51,84.28
E38g,E,Queen's Pawn Opening,14,10.0,0.71,2273.21,2409.79,-136.58
B66d,B,King's Pawn Opening,44,18.5,0.42,2303.5,2341.0,-37.5
D16d,D,Queen's Pawn Opening,22,14.0,0.64,2269.41,2269.05,0.36
B17s,B,King's Pawn Opening,6,3.5,0.58,2272.33,2262.83,9.5
B04f,B,King's Pawn Opening,319,163.0,0.51,2351.9,2379.71,-27.81
E67a,E,Queen's Pawn Opening,18,11.5,0.64,2067.11,2044.89,22.22
A39k,A,Other,61,21.0,0.34,2144.75,2167.72,-22.97
C95l,C,King's Pawn Opening,88,40.5,0.46,2281.18,2312.69,-31.51
A38m,A,Other,45,21.5,0.48,2233.27,2246.16,-12.89
A41d,A,Queen's Pawn Opening,139,61.5,0.44,2216.09,2175.75,40.34
D36g,D,Queen's Pawn Opening,286,131.0,0.46,2245.54,2216.71,28.83
B53x,B,King's Pawn Opening,17,5.5,0.32,2241.71,2181.71,60.0
C50i,C,King's Pawn Opening,15,7.5,0.5,1540.07,1704.53,-164.46
D01n,D,Queen's Pawn Opening,12,6.0,0.5,2242.58,2252.67,-10.09
C44d,C,King's Pawn Opening,34,15.0,0.44,2137.59,2089.47,48.12
B11i,B,King's Pawn Opening,117,51.0,0.44,2257.28,2256.78,0.5
B49i,B,King's Pawn Opening,21,11.0,0.52,2087.9,2255.48,-167.58
B42m,B,King's Pawn Opening,42,20.5,0.49,2157.4,2058.36,99.04
D46o,D,Queen's Pawn Opening,19,7.5,0.39,1877.47,1810.58,66.89
B26i,B,King's Pawn Opening,56,37.5,0.67,2051.12,2207.39,-156.27
B13z,B,King's Pawn Opening,32,14.5,0.45,2265.28,2141.19,124.09
B12d,B,King's Pawn Opening,250,128.0,0.51,2167.08,2235.34,-68.26
E15f,E,Queen's Pawn Opening,25,13.5,0.54,2387.08,2373.76,13.32
D85d,D,Queen's Pawn Opening,135,61.5,0.46,2238.64,2200.89,37.75
B17e,B,King's Pawn Opening,13,2.5,0.19,2244.92,2183.62,61.3
B31q,B,King's Pawn Opening,59,26.5,0.45,2196.08,2208.17,-12.09
C01s,C,King's Pawn Opening,110,58.5,0.53,2046.87,2133.05,-86.18
B43h,B,King's Pawn Opening,52,25.0,0.48,2144.58,2134.65,9.93
B76i,B,King's Pawn Opening,31,13.5,0.44,2247.81,2117.35,130.46
D20w,D,Queen's Pawn Opening,83,35.0,0.42,2397.11,2329.6,67.51
B01x,B,King's Pawn Opening,45,17.0,0.38,2184.44,2206.56,-22.12
B03a,B,King's Pawn Opening,36,12.0,0.33,2261.81,2028.94,232.87
E61t,E,Queen's Pawn Opening,47,23.5,0.5,2257.85,2315.83,-57.98
B33l,B,King's Pawn Opening,143,63.0,0.44,2319.47,2307.8,11.67
B15u,B,King's Pawn Opening,163,75.0,0.46,2189.85,2175.98,13.87
A80b,A,Queen's Pawn Opening,39,18.0,0.46,2216.82,2199.31,17.51
B81l,B,King's Pawn Opening,11,5.0,0.45,2159.18,2173.64,-14.46
B04j,B,King's Pawn Opening,61,27.0,0.44,2214.9,2245.89,-30.99
B45t,B,King's Pawn Opening,25,12.5,0.5,2112.92,2149.0,-36.08
B02f,B,King's Pawn Opening,69,40.0,0.58,2225.26,2251.93,-26.67
B19k,B,King's Pawn Opening,242,114.0,0.47,2129.71,2159.47,-29.76
A57f,A,Queen's Pawn Opening,40,17.5,0.44,2198.45,2119.1,79.35
D58p,D,Queen's Pawn Opening,8,2.5,0.31,2305.75,2379.0,-73.25
D03f,D,Queen's Pawn Opening,59,20.5,0.35,2177.47,2201.56,-24.09
B13m,B,King's Pawn Opening,293,136.5,0.47,2158.67,2153.16,5.51
D10e,D,Queen's Pawn Opening,224,98.5,0.44,2148.91,2144.71,4.2
B70q,B,King's Pawn Opening,47,16.5,0.35,2314.51,2229.96,84.55
B08n,B,King's Pawn Opening,144,71.0,0.49,2246.77,2284.52,-37.75
E19f,E,Queen's Pawn Opening,10,4.5,0.45,2273.1,2160.7,112.4
E94a,E,Queen's Pawn Opening,155,79.5,0.51,2379.82,2403.86,-24.04
A39g,A,Other,84,30.5,0.36,2319.62,2226.56,93.06
E66b,E,Queen's Pawn Opening,46,21.0,0.46,2312.41,2241.59,70.82
B44f,B,King's Pawn Opening,100,57.0,0.57,2150.54,2293.73,-143.19
B07g,B,King's Pawn Opening,12,3,0.25,2162.58,2236.33,-73.75
D27b,D,Queen's Pawn Opening,169,59.0,0.35,2405.54,2338.22,67.32
B95n,B,King's Pawn Opening,9,2.5,0.28,2428.44,2467.67,-39.23
B22b,B,King's Pawn Opening,201,91.0,0.45,2080.3,2101.89,-21.59
A46g,A,Queen's Pawn Opening,242,114.0,0.47,2191.73,2255.72,-63.99
B19d,B,King's Pawn Opening,16,8.5,0.53,1802.38,1910.5,-108.12
A58q,A,Queen's Pawn Opening,38,15.0,0.39,2132.61,2168.16,-35.55
C47c,C,King's Pawn Opening,95,37.0,0.39,2265.71,2276.18,-10.47
D15i,D,Queen's Pawn Opening,84,36.0,0.43,2344.44,2315.44,29.0
D27l,D,Queen's Pawn Opening,110,48.0,0.44,2371.12,2368.98,2.14
D46l,D,Queen's Pawn Opening,45,21.0,0.47,2217.49,2273.58,-56.09
B50d,B,King's Pawn Opening,39,15.0,0.38,2192.18,2161.46,30.72
E91v,E,Queen's Pawn Opening,58,27.0,0.47,2286.4,2252.79,33.61
A57i,A,Queen's Pawn Opening,35,19.5,0.56,2184.2,2139.4,44.8
B18o,B,King's Pawn Opening,15,8.5,0.57,2102.27,2127.13,-24.86
B47f,B,King's Pawn Opening,88,33.5,0.38,2258.66,2242.72,15.94
E03,E,Queen's Pawn Opening,131,81.5,0.62,2197.27,2294.28,-97.01
B47r,B,King's Pawn Opening,61,26.0,0.43,2345.74,2315.89,29.85
C64t,C,King's Pawn Opening,13,6.0,0.46,2158.46,2168.23,-9.77
A30p,A,Other,79,37.5,0.47,2285.67,2271.48,14.19
E71e,E,Queen's Pawn Opening,299,139.0,0.46,2309.19,2271.66,37.53
B37l,B,King's Pawn Opening,23,4.0,0.17,2247.0,2005.26,241.74
E94v,E,Queen's Pawn Opening,55,23.5,0.43,2194.31,2242.55,-48.24
B07y,B,King's Pawn Opening,31,19.5,0.63,2098.84,2159.39,-60.55
D06g,D,Queen's Pawn Opening,16,2.0,0.12,2265.94,1860.69,405.25
B11d,B,King's Pawn Opening,21,10.0,0.48,2195.57,2165.62,29.95
C26l,C,King's Pawn Opening,31,12.0,0.39,2256.32,2206.13,50.19
A60l,A,Queen's Pawn Opening,4,3.0,0.75,2219.0,2296.5,-77.5
C07k,C,King's Pawn Opening,16,5.5,0.34,1877.88,1871.12,6.76
B78c,B,King's Pawn Opening,100,51.5,0.52,2078.67,2097.24,-18.57
D79a,D,Queen's Pawn Opening,13,5.5,0.42,2187.23,2314.38,-127.15
C48l,C,King's Pawn Opening,37,16.0,0.43,2382.14,2435.22,-53.08
E94j,E,Queen's Pawn Opening,52,21.0,0.4,2370.63,2362.65,7.98
E00b,E,Queen's Pawn Opening,122,50.5,0.41,2111.2,2184.61,-73.41
A30t,A,Other,17,5.0,0.29,2359.94,2230.88,129.06
D47k,D,Queen's Pawn Opening,13,8.5,0.65,2304.15,2415.69,-111.54
C02v,C,King's Pawn Opening,134,45.5,0.34,2145.59,2014.31,131.28
B46h,B,King's Pawn Opening,3,2.5,0.83,2361.0,2568.67,-207.67
C68j,C,King's Pawn Opening,130,71.0,0.55,2312.38,2428.55,-116.17
C77e,C,King's Pawn Opening,54,18.5,0.34,2351.57,2357.5,-5.93
B12g,B,King's Pawn Opening,27,10.5,0.39,2284.26,2066.19,218.07
D36q,D,Queen's Pawn Opening,39,12.5,0.32,2383.05,2256.05,127.0
C01i,C,King's Pawn Opening,136,91.0,0.67,2075.01,2263.95,-188.94
C45w,C,King's Pawn Opening,71,36.5,0.51,2095.0,2124.94,-29.94
D12o,D,Queen's Pawn Opening,46,15.5,0.34,2273.7,2036.24,237.46
B34r,B,King's Pawn Opening,52,29.5,0.57,2162.29,2177.44,-15.15
C47e,C,King's Pawn Opening,40,15.0,0.38,2362.3,2250.28,112.02
A58g,A,Queen's Pawn Opening,1,1,1.0,2683.0,2586.0,97.0
C10a,C,King's Pawn Opening,89,35.5,0.4,2257.2,2190.08,67.12
D00g,D,Queen's Pawn Opening,55,24.5,0.45,2244.89,2172.45,72.44
C77i,C,King's Pawn Opening,82,38.5,0.47,2311.35,2272.06,39.29
C19p,C,King's Pawn Opening,9,1.5,0.17,2452.56,2280.44,172.12
D38o,D,Queen's Pawn Opening,105,55.5,0.53,2381.79,2394.56,-12.77
E42,E,Queen's Pawn Opening,140,72.5,0.52,2294.72,2313.25,-18.53
A48d,A,Queen's Pawn Opening,150,85.5,0.57,2135.7,2233.27,-97.57
B91n,B,King's Pawn Opening,36,18.5,0.51,2186.42,2217.28,-30.86
C15c,C,King's Pawn Opening,12,10,0.83,2097.92,2119.67,-21.75
B84,B,King's Pawn Opening,318,168.5,0.53,2178.91,2216.36,-37.45
C45x,C,King's Pawn Opening,62,29.0,0.47,2068.95,2048.68,20.27
B12u,B,King's Pawn Opening,214,83.5,0.39,2297.68,2233.07,64.61
C02a,C,King's Pawn Opening,120,56.5,0.47,2210.16,2163.82,46.34
D46k,D,Queen's Pawn Opening,29,10.0,0.34,2400.14,2348.66,51.48
B46r,B,King's Pawn Opening,11,8.5,0.77,2402.82,2555.09,-152.27
B15d,B,King's Pawn Opening,160,95.0,0.59,2160.05,2281.03,-120.98
E94l,E,Queen's Pawn Opening,185,94.5,0.51,2398.16,2430.19,-32.03
B53u,B,King's Pawn Opening,88,40.0,0.45,2251.93,2221.62,30.31
D07h,D,Queen's Pawn Opening,5,1.5,0.3,2407.6,2309.2,98.4
A13k,A,Other,49,24.0,0.49,2304.33,2309.0,-4.67
C68p,C,King's Pawn Opening,98,37.0,0.38,2213.0,2220.78,-7.78
C56n,C,King's Pawn Opening,7,2.5,0.36,2419.29,2282.29,137.0
E60n,E,Queen's Pawn Opening,63,31.0,0.49,2136.75,2184.33,-47.58
E08i,E,Queen's Pawn Opening,58,28.0,0.48,2297.71,2329.14,-31.43
C26q,C,King's Pawn Opening,9,4.0,0.44,2289.67,2308.56,-18.89
B19g,B,King's Pawn Opening,87,38.5,0.44,2141.76,2143.97,-2.21
B57l,B,King's Pawn Opening,33,9.0,0.27,2331.0,2246.58,84.42
B24,B,King's Pawn Opening,527,272.5,0.52,2068.8,2139.51,-70.71
D45a,D,Queen's Pawn Opening,18,3.5,0.19,2207.67,1925.61,282.06
D82,D,Queen's Pawn Opening,36,19.5,0.54,2235.19,2243.11,-7.92
C82o,C,King's Pawn Opening,43,15.0,0.35,2382.72,2358.02,24.7
B22l,B,King's Pawn Opening,80,40.5,0.51,2086.56,2047.5,39.06
B92k,B,King's Pawn Opening,133,72.5,0.55,2074.89,2186.8,-111.91
C55b,C,King's Pawn Opening,112,58.0,0.52,2115.42,2109.81,5.61
A48k,A,Queen's Pawn Opening,264,124.5,0.47,2271.8,2255.53,16.27
D03a,D,Queen's Pawn Opening,127,51.5,0.41,2272.94,2225.29,47.65
C18h,C,King's Pawn Opening,81,31.0,0.38,2322.41,2256.35,66.06
A48i,A,Queen's Pawn Opening,158,70.0,0.44,2306.45,2264.86,41.59
E33,E,Queen's Pawn Opening,153,84.5,0.55,2221.37,2256.93,-35.56
A46y,A,Queen's Pawn Opening,78,52.5,0.67,2254.14,2356.86,-102.72
B49k,B,King's Pawn Opening,22,11.0,0.5,2300.32,2174.18,126.14
A73,A,Queen's Pawn Opening,56,29.0,0.52,2251.38,2339.09,-87.71
B28i,B,King's Pawn Opening,114,51.0,0.45,2217.73,2168.1,49.63
B56f,B,King's Pawn Opening,68,38.0,0.56,2262.94,2338.53,-75.59
A56e,A,Queen's Pawn Opening,45,20.0,0.44,2150.51,2213.31,-62.8
E32r,E,Queen's Pawn Opening,22,12.0,0.55,2255.64,2284.91,-29.27
E69t,E,Queen's Pawn Opening,17,6.5,0.38,2173.82,2135.76,38.06
D15m,D,Queen's Pawn Opening,12,5.0,0.42,2274.25,2172.42,101.83
D43t,D,Queen's Pawn Opening,58,28.0,0.48,2358.62,2362.03,-3.41
D53t,D,Queen's Pawn Opening,45,19.0,0.42,2280.16,2183.91,96.25
C07c,C,King's Pawn Opening,27,16.5,0.61,2156.74,2221.78,-65.04
E67j,E,Queen's Pawn Opening,14,6.5,0.46,2217.71,2212.0,5.71
A52b,A,Queen's Pawn Opening,70,27.0,0.39,2300.9,2190.11,110.79
B93q,B,King's Pawn Opening,24,15.0,0.62,2299.5,2350.62,-51.12
C50n,C,King's Pawn Opening,82,42.0,0.51,2099.51,2057.23,42.28
D11n,D,Queen's Pawn Opening,49,28.0,0.57,2217.63,2246.14,-28.51
B99l,B,King's Pawn Opening,41,16.5,0.4,2193.93,2170.34,23.59
E97r,E,Queen's Pawn Opening,22,8.0,0.36,2438.91,2195.23,243.68
E14r,E,Queen's Pawn Opening,17,10.5,0.62,2326.59,2389.35,-62.76
